Item Name,Unit,Qunatity Available,Quantity Purcahsed,Qunatity Sold,Qunatity Avaialble for sale,Valuation
IGBT Module-FP25R12W1T7B11BPSA1,Nos,0.0,2.0,2.0,0.0,0.0
IGBT Module-GD35PIY120C5SN,Nos,19.0,22.0,3.0,19.0,47500.0
"IGBT onsemi FGH40N65UFDTU IGBT, 80 A 600 V, 3-Pin TO-247, Through Hole",Nos,0.0,0.0,0.0,0.0,0
"IGBT onsemi NGTB40N120L3WG IGBT, 160 A 1200 V, 3-Pin TO-247, Through Hole",Nos,60.0,60.0,0.0,60.0,24000.0
IGBT STGW40M120DF3,Nos,12.0,25.0,13.0,12.0,5453.88
IGBT Transistor 1.7kV 10A-IXYH10N170CV1,Nos,0.0,56.0,56.0,0.0,0.0
IGBT Transistor 1.7kV/26Amp-747-IXGF32N170,Nos,0.0,9.0,9.0,0.0,0.0
"IGBT-Isolated Gate Drivers-ISO5852SQDWRQ1,SOIC-16,SMD/SMT Digikey",Nos,0.0,600.0,600.0,0.0,0.0
IMPORTED SAWN TIMBER,Nos,0.0,0.1035,0.1035,0.0,0.0
Impulse Capacitor Bushing,Nos,8.0,8.0,0.0,8.0,21904.0
Impulse Stage Capacitor-Double Busing 1uF/200 KV,Nos,4.0,4.0,0.0,4.0,710402.0
Impulse Stage Capacitor-Single Bushing 1uF/100 KV,Nos,10.0,25.0,15.0,10.0,607200.0
Impulse Stage Capacitor-Single Bushing 1uF/200 KV,Nos,7.0,18.0,11.0,7.0,1638063.0
Impulse Stage Capacitor-Single Bushing 2uF/100kV,Nos,0.0,85.0,85.0,0.0,0.0
Impulse Stage Capacitor-Single Bushing 5uF/100 KV,Nos,0.0,10.0,10.0,0.0,0.0
Indicator Red Light 220V ( Vaishno),Nos,0.0,14.0,14.0,0.0,0.0
INDION MB 6 SR ( 6 LTR REFIL PACK ),Ltr,0.0,24.0,24.0,0.0,0.0
"Induction Motor 415VAC,746W/1HP, 1440 RPM",Nos,0.0,1.0,1.0,0.0,0.0
"Inductor 20uH,3A 54mOhm",Nos,0.0,45.0,45.0,0.0,0.0
"Inductor 20uH,3A 54mOhm",Nos,0.0,45.0,45.0,0.0,0.0
"Inductor Drum 100uH, 8X10",Nos,500.0,500.0,0.0,500.0,1550.0
"Inductor Drum 22uH,0.3A 6X8",Nos,0.0,450.0,450.0,0.0,0.0
"Inductor Drum 260uH, 10X12",Nos,200.0,500.0,300.0,200.0,900.0
"Inductor, 1P, Air Colled, 200uHx1, 360Amp -AL-PRI0606_01",Nos,0.0,0.0,0.0,0.0,0
"Inductor, 1P, Air Colled, 200uHx3, 150Amp -AL-PRI0430",Nos,0.0,6.0,6.0,0.0,0.0
"Inductor, 3P, Air Colled, 100uHx3, 350Amp. AL-PRI0559-01",Nos,1.0,2.0,1.0,1.0,41000.0
"Inductor, 3P, Air Colled, 125uHx3, 360Amp.",Nos,0.0,5.0,5.0,0.0,0.0
"Inductor, 3P, Air Colled, 125uHx3, 550Amp.AL",Nos,0.0,1.0,1.0,0.0,0.0
"Inductor, 3P, Air Colled, 150uHx3, 450Amp. AL-PRI0561",Nos,1.0,2.0,1.0,1.0,100370.0
"Inductor, 3P, Air Colled, 200uHx3, 425Amp. AL-PRI0562",Nos,0.0,2.0,2.0,0.0,0.0
"Inductor, 3P, Air Colled, 40uHx3, 800Amp. AL-PRI0564",Nos,0.0,1.0,1.0,0.0,0.0
"Inductor, 3P, Air Colled, 60uHx3, 250Amp.",Nos,0.0,5.0,5.0,0.0,0.0
"Inductor, 3P, Air Colled, 60uHx3, 350Amp. AL-PRI0558",Nos,0.0,1.0,1.0,0.0,0.0
"Inductor, 3P, Air Colled, 75uHx3, 350Amp. AL-PRI0560-01",Nos,0.0,2.0,2.0,0.0,0.0
Inductor/Coil 10 mh-1A,Nos,0.0,95.0,95.0,0.0,0.0
"INDUSTRIAL 4U RACKMOUNT PC MODEL: MIPC-610T-4U i7 9th PROCESSOR, 8GB RAM, 1TB HDD, 350W SMPS, INDUSTRIAL ATX MOTHERBOARD, PCI SLOTS + PCI EXPRESS SLOT, 2LAN, 6*USB,4*COM, VGA, HDMI",Nos,0.0,2.0,2.0,0.0,0.0
"Industrial Desktop computer (PCD), Z2 G5 (500W) Core i7 10th Gen 10700 8GB DDR4 2666,1TB Intel HD Graphics, VGA Win10 Pro 64 bit, 256 Gb SSD",Nos,0.0,1.0,1.0,0.0,0.0
"Industrial Desktop computer Screen, 22"" Screen",Nos,0.0,1.0,1.0,0.0,0.0
"INDUSTRIAL PANEL PC MODEL: MIPC1040T-C2  INDUSTRIAL 10.4” PANEL PC – P-CAP TOUCH, Celeron J1800 PROCESSOR,4GB RAM, 120GB SSD, 2*USB, 2*COM, 2*LAN, WIFI",Nos,0.0,0.0,0.0,0.0,0
"INDUSTRIAL PANEL PC MODEL: MIPC1040T-i3  INDUSTRIAL 10.4” PANEL PC – P-CAP TOUCH, i3 PROCESSOR, 8GB RAM, 120GB SSD, 2*USB, 2*COM, 2*LAN, WIFI.",Nos,0.0,0.0,0.0,0.0,0
Industrial Pin Top- 30 Amp- Male,Nos,0.0,10.0,10.0,0.0,0.0
Industrial Pin Top-30 Amp-Female,Nos,0.0,3.0,3.0,0.0,0.0
Industrial Socket Box MCB Plug & Socket 32A,Nos,0.0,13.0,13.0,0.0,0.0
Industrial Socket Box MCB Plug & Socket 63A,Nos,0.0,3.0,3.0,0.0,0.0
Ink Ribbon LM-IR300B-Black Max,Nos,1.0,8.0,7.0,1.0,1030.0
"Insert 1/2""",Nos,20.0,27.0,7.0,20.0,12480.0
Insert 16ER 11W,Nos,3.0,12.0,9.0,3.0,1080.0
Insert 8125,Nos,0.0,19.0,19.0,0.0,0.0
Insert Carbide 16ER20ISO1TT9080,Nos,0.0,15.0,15.0,0.0,0.0
Insert PMT120408,Nos,0.0,10.0,10.0,0.0,0.0
Insert SPMT120408HM-XT125,Nos,60.0,130.0,70.0,60.0,29100.0
Insert TPGX 090204 NX2525,Nos,0.0,113.0,113.0,0.0,0.0
Insert TPGX1.81.51L,Nos,20.0,30.0,10.0,20.0,6500.0
Insert XUMU 0906 ANTN-ML-TT8080,Nos,10.0,30.0,20.0,10.0,16680.0
"Instrument Case 2U/84T/365D, TOP SL T PS BLUE",Nos,21.0,45.0,24.0,21.0,103950.0
Instrument Case 3U ( 335 x 215 x 135mm) -Old,Nos,5.0,9.0,4.0,5.0,15000.0
"Instrument Case 4U/84T/365D, TOP SL T PS BLUE",Nos,14.0,42.0,28.0,14.0,81480.0
Instrument Case 6U/84T 365D(TP SL T PS Blue),Nos,2.0,6.0,4.0,2.0,12000.0
Instrument Case 8U/84T 365 D (TP SL T PS Blue),Nos,6.0,6.0,0.0,6.0,51420.0
Insulating Paper,Kg,7.0,41.6,34.6,7.0,9835.0
Insulating press board 8x4Ft x1mm,Kg,86.7,138.99,52.29,86.7,8108.0
Insulating press board-8x4Ftx2mm,Kg,197.5,466.91,269.41,197.5,18762.5
Insulating press board-8x4Ftx3mm,Kg,93.05,564.2,471.15,93.05,8839.75
Insulating Varnish(Dr.Beck),Kg,0.0,2115.0,2115.0,0.0,0.0
Insulator 60X130 ( Rod Type),Nos,5.0,5.0,0.0,5.0,1550.0
Insulator 60X130 ( Rod Type),Nos,5.0,5.0,0.0,5.0,1550.0
Insulator 60x90(Rod Type)-Red,Nos,10.0,10.0,0.0,10.0,1800.0
Insulator 70x210(Rod Type)-Red,Nos,1.0,5.0,4.0,1.0,550.0
Insulator Belt 1200 T 10 PU Timing Belt,Nos,1.0,1.0,0.0,1.0,2500.0
Insulator Bus Bar   31P-211/307,Nos,40.0,78.0,38.0,40.0,27720.0
Insulator Bus Bar   31P-306/211,Nos,0.0,0.0,0.0,0.0,0
Insulator Bus Bar  30P-207/111,Nos,20.0,54.0,34.0,20.0,9180.0
Insulator Bus Bar 61P307 SMC White,Nos,2.0,10.0,8.0,2.0,1000.0
Insulator Bus Bar SMC DMC Red C-1040MS,Nos,0.0,50.0,50.0,0.0,0.0
Insulator Bus Bar SMC DMC Red C-1050MS,Nos,0.0,25.0,25.0,0.0,0.0
Insulator CY-2660 M6,Nos,129.0,220.0,91.0,129.0,8514.0
Insulator Solid Core 24 kV (CJI-A-932 PCD 76/76),Nos,1.0,1.0,0.0,1.0,1200.0
Insulator Solid Core72.5 kV (CJI-A-932 PCD 76/76),Nos,6.0,6.0,0.0,6.0,20400.0
Insulator Supporting 110kV,Nos,0.0,12.0,12.0,0.0,0.0
Intel NUC Pro Kit NUC11TNHi3 with 11th Gen. 16GB DDR4 3200 MHz /500GB/Window 10 Pro,Nos,0.0,1.0,1.0,0.0,0.0
Internal Baying Kit CCI06,Set,0.0,7.0,7.0,0.0,0.0
Internal Baying Kit Corner  CCM04,Set,0.0,7.0,7.0,0.0,0.0
Iron Clip(Patti),Kg,0.0,73.15,73.15,0.0,0.0
ISO -40 Milling Collect Check(Adapter),Nos,1.0,1.0,0.0,1.0,1700.0
Jainson SMART 16 0.5 to 16 MM² Crimping tool,Nos,2.0,4.0,2.0,2.0,1154.0
Jainson Virat 6 0.5 TO 6 MM² CRIMPING HAND TOOL,Nos,1.0,7.0,6.0,1.0,437.0
Jainson Virat 6 0.5 TO 6 MM² CRIMPING HAND TOOL,Nos,1.0,7.0,6.0,1.0,437.0
JAW CONTACT 1600 Amp 10 Fin,Nos,0.0,12.0,12.0,0.0,0.0
JAW CONTACT 2500 Amp 18 Fin,Nos,0.0,6.0,6.0,0.0,0.0
JAW CONTACT 630 Amp 6 Fin,Nos,1.0,1.0,0.0,1.0,3550.0
"Jeirdus - Cable de fibra óptica para exteriores (100 ft, SC a SC, blindado, 4 núcleos, 9/125, SM)",Nos,1.0,2.0,1.0,1.0,5663.25
"Jeirdus - Cable de fibra óptica para exteriores (49.2 ft, SC a SC, blindado, 4 núcleos, 9/125, SM)",Nos,2.0,8.0,6.0,2.0,7047.6
"Jeirdus - Cable de fibra óptica para exteriores (65 ft, SC a SC, blindado, 4 núcleos, 9/125, SM)",Nos,2.0,2.0,0.0,2.0,8390.0
Jigsaw Blade T118A,Nos,43.0,91.0,48.0,43.0,1493.3899999999999
Jigsaw Blade T118B,Nos,58.0,108.0,50.0,58.0,2142.12
Jigsaw Blade T123X,Nos,41.0,126.0,85.0,41.0,2376.36
Jigsaw Blade T318A,Nos,58.0,233.0,175.0,58.0,3752.0
Jigsaw Machine 4350CT,Nos,1.0,2.0,1.0,1.0,14200.0
Jigsaw Machine GST90,Nos,0.0,0.0,0.0,0.0,0
Joining Kit Frame PJ2F,Nos,4.0,12.0,8.0,4.0,1663.2
Joining Kit Frame PJB2F,Nos,4.0,12.0,8.0,4.0,1890.0
Jointing Couplers 40 mm Tray,Nos,20.0,30.0,10.0,20.0,440.0
Jointing Strips M.S. 6mm,Nos,750.0,920.0,170.0,750.0,1687.5
JTCCM3T23P1A05-2 Mode 3 Tethered EV Charging Cable Type 2 IEC 62196-2 Female Three Phase 32 Amp 22Kw 5 meter,NOS,1.0,1.0,0.0,1.0,12413.0
JTEVS200AC2MC 200A CCS2 EV Inlet Socket 1000V DC CCS Type 2 IEC 62196-3 DC male Inlet Socket with 0.5 meter cable,Pcs,1.0,1.0,0.0,1.0,16016.0
Jumper 20CM DuPont Wire Color Jumper Cable 2.54mm 1P-1P Female to Female-40 pcs Pack,Nos,0.0,2.0,2.0,0.0,0.0
Jumper wire (15) swg(Fuse),Nos,2.0,5.0,3.0,2.0,312.0
Jumper wire (20-22) swg(Fuse),Nos,1.0,6.0,5.0,1.0,150.0
Jumper Wire Male to Male-40 Pin 30 CM,Nos,1.0,1.0,0.0,1.0,63.56
Jumper Wires Male to Female (20cm)-40 piece pack,Nos,0.0,2.0,2.0,0.0,0.0
Kabelfuhler-Durchmesser-KS-PT100A-4L-5.0,Nos,0.0,7.0,7.0,0.0,0.0
Kabza Hinge,Nos,0.0,6.0,6.0,0.0,0.0
Key 6X6X300 EN8,Nos,31.0,31.0,0.0,31.0,1085.0
Key Switch with NO Element A22-RS/K01 Eaton,Nos,0.0,2.0,2.0,0.0,0.0
Key Switch with NO Element Siemens,Nos,0.0,1.0,1.0,0.0,0.0
"Key Switch, Schnieder (New)",Nos,15.0,37.0,22.0,15.0,5218.2
"Keyboard Tray 24U,",Nos,4.0,6.0,2.0,4.0,8400.0
Kirloskar GMC 1.525 Plus 2 HP Three Phase Monoblock Pump,Nos,0.0,1.0,1.0,0.0,0.0
Kirloskar GMC 128 Plus 1HP Three Phase Monoblock Pump,Nos,0.0,1.0,1.0,0.0,0.0
"Knife Blade(SDI)-3/4""",Nos,162.0,1920.0,1758.0,162.0,1053.0
Knife Cutter,Nos,47.0,126.0,79.0,47.0,1410.0
Knitted Hand Gloves Cotton,Pair,1.0,5939.0,5938.0,1.0,7.5
Knob  (Pot) Black Medium,Nos,0.0,30.0,30.0,0.0,0.0
Knob  (Pot) Black Small,Nos,0.0,4.0,4.0,0.0,0.0
Knob  (Pot) Grey Medium,Nos,0.0,2.0,2.0,0.0,0.0
Knob  (Pot) Red Medium,Nos,0.0,2.0,2.0,0.0,0.0
Knob Cap,Nos,11.0,18.0,7.0,11.0,220.0
Kraft Paper (Tera),Kg,305.0,305.0,0.0,305.0,36600.0
"Kraft Paper 20milx070,0.5mm",Kg,0.0,0.0,0.0,0.0,0
"Kraft Paper 20milx085,0.5mm",Kg,0.0,14.02,14.02,0.0,0.0
"Kraft Paper 20milx090, 0.5mm",Kg,0.0,25.28,25.28,0.0,0.0
"Kraft Paper 20milx110, 0.5mm",Kg,0.0,45.76,45.76,0.0,0.0
"Kraft Paper 20milx120, 0.5mm",Kg,0.0,20.5,20.5,0.0,0.0
"Kraft Paper 20milx145,0.5mm",Kg,0.0,0.0,0.0,0.0,0
"Kraft Paper 20milx150, 0.5mm",Kg,0.0,30.48,30.48,0.0,0.0
"Kraft Paper 20milx220, 0.5mm",Kg,0.0,99.16,99.16,0.0,0.0
Kraft Paper 3milx20,Kg,0.0,198.26,198.26,0.0,0.0
Kraft Paper 3milx20,Kg,0.0,198.26,198.26,0.0,0.0
Kraft Paper 3milx250,Kg,0.0,47.46,47.46,0.0,0.0
Kraft Paper 3milx300,Kg,0.0,46.5,46.5,0.0,0.0
Kraft Paper 3milx350,Kg,0.0,51.48,51.48,0.0,0.0
Kraft Paper 3milx400,Kg,0.0,48.46,48.46,0.0,0.0
Kraft Paper 5milx160,Kg,0.0,11.96,11.96,0.0,0.0
Kraft Paper 5milx190,Kg,0.0,49.08,49.08,0.0,0.0
Kraft Paper 5milx200,Kg,0.0,292.513,292.513,0.0,0.0
Kraft Paper 5milx230,Kg,0.0,119.04,119.04,0.0,0.0
Kraft Paper 5milx25,Kg,0.0,102.94,102.94,0.0,0.0
Kraft Paper 5milx290,Kg,0.0,48.6,48.6,0.0,0.0
Kraft Paper 5milx30,Kg,0.0,72.7,72.7,0.0,0.0
Kraft Paper 5milx300,Kg,0.0,247.04,247.04,0.0,0.0
Kraft Paper 5milx35,Kg,0.0,47.6,47.6,0.0,0.0
Kraft Paper 5milx350,Kg,0.0,169.88,169.88,0.0,0.0
Kraft Paper 5milx360,Kg,0.0,97.94,97.94,0.0,0.0
Kraft Paper 5milx40,Kg,0.0,44.2,44.2,0.0,0.0
Kraft Paper 5milx400,Kg,0.0,173.87,173.87,0.0,0.0
Kraft Paper 5milx420,Kg,0.0,102.64,102.64,0.0,0.0
Kraft Paper 5milx450,Kg,0.0,239.49,239.49,0.0,0.0
Kraft Paper 5milx480,Kg,0.0,21.42,21.42,0.0,0.0
Kraft Paper 5milx50,Kg,0.0,69.06,69.06,0.0,0.0
Kraft Paper 5milx500,Kg,0.0,351.02,351.02,0.0,0.0
Kraft Paper 5milx540,Kg,0.0,355.58,355.58,0.0,0.0
Kraft Paper 5milx560,Kg,0.0,107.74,107.74,0.0,0.0
Kraft Paper 5milx590,Kg,0.0,89.42,89.42,0.0,0.0
Kraft Paper 5milx60,Kg,0.0,48.18,48.18,0.0,0.0
Kraft Paper 5milx600,Kg,0.0,67.13,67.13,0.0,0.0
Kraft Paper 5milx70,Kg,0.0,10.53,10.53,0.0,0.0
Krost Paint Mixer Rod for Rotary Hammer Machine,Nos,0.0,2.0,2.0,0.0,0.0
"Kut 10 sq.mm, Grey, 8kV Imp. Peak, 1.2",Nos,60.0,94.0,34.0,60.0,990.0
"Kut 10, Feed Through Terminal,0.8kV, 57A, 10 sq.mm, Grey, 8kV Imp. Peak, 1.2  + Grey(Terminal Pitch)",Nos,0.0,94.0,94.0,0.0,0.0
"Kut 16 , Feed Through Terminal,1kV, 76A, 16 sq.mm, Grey, 8kV Imp. Peak, 1.2Grey(Terminal Pitch)",Nos,0.0,60.0,60.0,0.0,0.0
"Kut 16 sq.mm, Grey, 8kV Imp. Peak, 1.2",Nos,61.0,129.0,68.0,61.0,1701.8999999999999
"Kut 2.5 sq.mm, Grey, 8kV Imp. Peak, 0.5",Nos,195.0,1550.0,1355.0,195.0,1306.5
"Kut 35 sq.mm, Grey, 8kV Imp. Peak, 3",Nos,0.0,6.0,6.0,0.0,0.0
"Kut 4 sq.mm, Grey, 8kV Imp. Peak, 0.8",Nos,114.0,200.0,86.0,114.0,973.0
"Kut 6 sq.mm, Grey, 8kV Imp. Peak, 0.8",Nos,375.0,1121.0,746.0,375.0,4251.25
Kut Number KN5.5 (1-10),Nos,120.0,200.0,80.0,120.0,768.0
Kut Number KN5.5 (11-20),Nos,130.0,200.0,70.0,130.0,832.0
Kut Number KN5.5 (21-30),Nos,170.0,200.0,30.0,170.0,1088.0
Kut Number KN5.5 (31-40),Nos,90.0,100.0,10.0,90.0,576.0
Kut Number KN5.5 (41-50),Nos,90.0,100.0,10.0,90.0,576.0
Kut Number KN5.5 (51-60),Nos,90.0,100.0,10.0,90.0,576.0
Kut Number KN5.5 (61-70),Nos,100.0,100.0,0.0,100.0,640.0
Kut Number KN5.5 (71-80),Nos,100.0,100.0,0.0,100.0,640.0
Kut Number KN5.5 (81-90),Nos,100.0,100.0,0.0,100.0,640.0
Kv Tek D-21,Nos,6.0,40.0,34.0,6.0,864.0
KVTEK Monogram 30X30,Nos,0.0,20.0,20.0,0.0,0.0
L Corner 50X50X5 mm,Mtrs,1364.0,2404.0,1040.0,1364.0,30008.0
L Corner 50X50X5 mm,Mtrs,1364.0,2404.0,1040.0,1364.0,30008.0
L Support L 125,Nos,46.0,71.0,25.0,46.0,1380.0
L Support L 60,Nos,29.0,152.0,123.0,29.0,643.0
Label Tape 12mm-Print(White),Nos,8.0,19.0,11.0,8.0,5315.0
Label Tape 9mm-Print(White),Nos,4.0,50.0,46.0,4.0,2600.0
Label Tape 9mm-Print(Yellow),Nos,1.0,2.0,1.0,1.0,1450.0
Labjack Multifunction USB or Ethernet DAQ device T4,Nos,2.0,2.0,0.0,2.0,31000.0
Labjack Multifunction USB or Ethernet DAQ device T7,Nos,5.0,28.0,23.0,5.0,234400.0
labjack Multifunction USB or Ethernet DAQ device UE9,Nos,2.0,19.0,17.0,2.0,133304.0
LabJack USB DAQ device U12,Nos,6.0,18.0,12.0,6.0,111600.0
LabJack USB DAQ device U3-HV,Nos,5.0,15.0,10.0,5.0,69975.0
LabJack USB DAQ device U3-HV-OEM,Nos,4.0,17.0,13.0,4.0,42464.0
Lapp 16 Sq X 3 Core-olflex,Mtr,81.0,92.0,11.0,81.0,33734.880000000005
Lapp Cable  0.14 mmx 25 Core Unitronic,Mtr,100.0,100.0,0.0,100.0,24169.0
Lapp Cable  0.75 mmx 3 Core Unitronic,Mtr,349.0,1285.0,936.0,349.0,28438.03
"Lapp Cable 0.75 Xmm 4 Core, 1 pair",Mtr,0.0,19.0,19.0,0.0,0.0
Lapp Cable Shielded 1.5X 4 core,Mtr,5.0,155.0,150.0,5.0,654.4
Lapp Silvyn Rill 16.6x21.2 PA6 Sinus Hose pipe,Mtrs,0.0,16.0,16.0,0.0,0.0
Laptop 3400 (D552231WIN9D) I5-1135G7 8GB 14”,Nos,0.0,1.0,1.0,0.0,0.0
Laptop 3401 (D55222WIN9D) I3-1005G1 8GB 14”,Nos,3.0,6.0,3.0,3.0,132203.40000000002
Laptop 5CD115SSQG,Nos,0.0,1.0,1.0,0.0,0.0
Laptop 5CD129LC4P,Nos,0.0,0.0,0.0,0.0,0
Laptop ABCE0322,Nos,0.0,1.0,1.0,0.0,0.0
Laptop B08XY3843B,Nos,0.0,6.0,6.0,0.0,0.0
Laptop Battery-HS04 3CB0460MV7,Nos,0.0,1.0,1.0,0.0,0.0
Laptop Charger 3CB0110KLP,Nos,1.0,2.0,1.0,1.0,847.46
Laptop CND1181P1H,Nos,0.0,4.0,4.0,0.0,0.0
Laptop CND11828ZC,Nos,0.0,5.0,5.0,0.0,0.0
Laptop Dell 3510,Nos,0.0,2.0,2.0,0.0,0.0
Laptop DELL 3511 I3 11TH GEN,Nos,0.0,3.0,3.0,0.0,0.0
"Laptop Dell 3614TU I3 8GB 256SSD+1TBHDD 15.6""-",Nos,0.0,2.0,2.0,0.0,0.0
Laptop Dell Vostro 3400,Nos,0.0,8.0,8.0,0.0,0.0
Laptop HP 15s 11th Gen i3-15s-dy3501TU,Nos,0.0,1.0,1.0,0.0,0.0
Laptop HP 15s i3 11th Gen 8 GB RAM 512GB SSD Intel UHD Graphics FHD 1080P,Nos,0.0,6.0,6.0,0.0,0.0
Laptop HP 15s-dy3501TU 11th Gen i3-1125G4,Nos,0.0,5.0,5.0,0.0,0.0
"Laptop HP 450/250 G8 I3 11TH 8GB RAM 512 SSD 3 USB PORT LAN , BLUETOOTH  15.6 SCREEN WIND 10 PRO",Nos,0.0,26.0,26.0,0.0,0.0
"Laptop Ideapad Slim 1i Thin & Light 81VT009UIN Celeron N4020 4GB, 256GB SSD WINDOWS 11 HOME 64 SL OFFICE H&S 2021   INTEGRATED GRAPHICS 11.6"" HD 250nits AG Platinum Grey",Nos,0.0,3.0,3.0,0.0,0.0
Lashing Chain,Nos,0.0,0.0,0.0,0.0,0
Lathe machine Kabza,Nos,0.0,0.0,0.0,0.0,0
LCD Display 12864B Graphic Blue Color Backlight LCD Display Module,Nos,2.0,4.0,2.0,2.0,1286.44
LCD Display Lmg7420plfc,Nos,0.0,1.0,1.0,0.0,0.0
"LCD Display, 16 characters x 1 line, 16116-2SLW",Nos,0.0,2.0,2.0,0.0,0.0
"LCD Display, 16 characters x 1 line, 16216-4SLW",Nos,0.0,1.0,1.0,0.0,0.0
"LCD Display,2004A , 20x4 line Character",Nos,0.0,10.0,10.0,0.0,0.0
"LCD Display,204A , 20x4 line Character",Nos,1.0,26.0,25.0,1.0,425.0
"LCD Display-1602, 16 characters x 2 line, Parallel with Blue Light",Nos,1.0,3.0,2.0,1.0,126.27
LCR Meter,Nos,0.0,3.0,3.0,0.0,0.0
LD Roll 6',Kg,43.1,255.9,212.8,43.1,7542.5
"Lead Glass 10""X10""X10 mm",Nos,0.0,1.0,1.0,0.0,0.0
Lead Sheet 4 mm,Kg,0.0,137.0,137.0,0.0,0.0
LeatherHand Gloves,Pair,0.0,6.0,6.0,0.0,0.0
LeatherHand Gloves,Pair,0.0,6.0,6.0,0.0,0.0
Led  Holder-5mm 3 legs,Nos,0.0,500.0,500.0,0.0,0.0
Led -3mm(Led Green),Nos,0.0,1000.0,1000.0,0.0,0.0
Led -5mm(Led Red),Nos,0.0,2000.0,2000.0,0.0,0.0
Led -5mm(Led Red-Green),Nos,0.0,1000.0,1000.0,0.0,0.0
Led -XXmm(Nano),Nos,0.0,200.0,200.0,0.0,0.0
LED bulb 30 Watt B22,Nos,0.0,1.0,1.0,0.0,0.0
LED bulb 9Watt B22,Nos,2.0,15.0,13.0,2.0,220.0
Led Green Metal Indicator-5 mm,Nos,30.0,30.0,0.0,30.0,1050.0
Led Light adapter 18 W,Nos,0.0,6.0,6.0,0.0,0.0
Led Light adapter 24W,Nos,0.0,5.0,5.0,0.0,0.0
Led Panel Light 18 W Square,Nos,0.0,2.0,2.0,0.0,0.0
Led Red Metal Indicator-5 mm,Nos,40.0,40.0,0.0,40.0,1200.0
Led Red SMD-1206,Nos,0.0,3000.0,3000.0,0.0,0.0
"Lemo Connector 1P, Female  ERA.4S.250.CTL",Nos,0.0,44.0,44.0,0.0,0.0
Lemo Connector ERA 1S.250.CTL-Female 1 Pin,Nos,9.0,17.0,8.0,9.0,9535.0
Lemo Connector ERA.2S.302.CLL-Female 2 Pin,Nos,24.0,61.0,37.0,24.0,41760.0
Lemo Connector ERA.2S.304.CLL-Female 4 Pin,Nos,19.0,52.0,33.0,19.0,37810.0
Lemo Connector ERA.2S.650.CTL -Female 1 Pin,Nos,10.0,10.0,0.0,10.0,17000.0
Lemo Connector ERA.3S.140.CTL-Female 1 Pin,Nos,77.0,140.0,63.0,77.0,164010.0
Lemo Connector ERA.4S .250 .CTL  1 Pin Female,Nos,9.0,94.0,85.0,9.0,30240.0
Lemo Connector FFA.1S.250.CTAC52-Male 1 Pin,Nos,3.0,12.0,9.0,3.0,4335.0
lemo Connector FFA.2S.302.CLAC82 (Male),Nos,29.0,59.0,30.0,29.0,71485.0
Lemo Connector FFA.2S.304.CLAC82-Male 4 Pin,Nos,8.0,43.0,35.0,8.0,21200.0
Lemo Connector FFA.3S.140.CTAC10(Male) sunitable for RG-11,Nos,0.0,9.0,9.0,0.0,0.0
Lemo Connector FFA.3S.140.CTAC10-Male 1 Pin sunitable for RG-58,Nos,79.0,135.0,56.0,79.0,214880.0
Lemo Connector FFA.4S.250.CTAC11-Male 1 Pin,Nos,18.0,92.0,74.0,18.0,94050.0
Level Sensor Vertical  BTH PSA-500/1/1-S L-500mm,Nos,0.0,0.0,0.0,0.0,0
Lifting Belt 1Ton 3 Mtrs,Nos,0.0,4.0,4.0,0.0,0.0
Lifting Belt 3Ton 3 Mtrs,Nos,0.0,0.0,0.0,0.0,0
Lifting Belt 3Ton 5 Mtrs,Nos,0.0,4.0,4.0,0.0,0.0
Lifting Belt 5Ton 3 Mtrs,Nos,0.0,4.0,4.0,0.0,0.0
Lifting Eyes LE9304,Nos,0.0,1.0,1.0,0.0,0.0
Lighning Arrestor 18kV,Nos,0.0,1.0,1.0,0.0,0.0
"Light 24V,6Pin (Panel)",Nos,23.0,23.0,0.0,23.0,8050.0
"Light 24V,8Pin (Panel)",Nos,19.0,19.0,0.0,19.0,6650.0
Light Grey Spray,Nos,3.0,5.0,2.0,3.0,900.0
Lighting Arrestor Polymer 11 KV 10kA,Nos,1.0,3.0,2.0,1.0,4166.67
Lighting Arrestor Polymer 33 KV,Nos,0.0,3.0,3.0,0.0,0.0
Lighting Arrestor Polymer 9 KV,Nos,1.0,1.0,0.0,1.0,950.0
"Limit switch  1NO+ 1NC 10A,500V",Nos,18.0,40.0,22.0,18.0,2880.0
Limit Switch (10A-250VAC)Model-SL-A One Change Over SPDT,Nos,0.0,3.0,3.0,0.0,0.0
Limit Switch (BLACK) 10A 1/2KP 125/250VAC,Nos,0.0,3.0,3.0,0.0,0.0
Limit Switch (Integral) (4802 2310),Nos,5.0,5.0,0.0,5.0,225.0
Limit Switch (Integral) (4822 2331) 2NO+ 2NC (Red button),Nos,8.0,8.0,0.0,8.0,600.0
Limit Switch (White push) (Steel cove) 2NO+ 2NC (Black)-5A-Micro,Nos,13.0,19.0,6.0,13.0,1235.0
Limit Switch (white) 10A -Micro Switch(D44X)-Copper 2 Pin,Nos,24.0,52.0,28.0,24.0,1760.0
Limit Switch (white) 10A -Micro Switch(Grey)-Copper 2 Pin,Nos,15.0,42.0,27.0,15.0,1050.0
Limit Switch 4A /250V (black)Elcom MS-1,Nos,30.0,30.0,0.0,30.0,1050.0
"Limit switch 6A/250V (VMN-06,6A)",Nos,0.0,3.0,3.0,0.0,0.0
